Sentence #	Word	Lemma	Pos	Tag
Sentence: 1	Proces	proces	Ncmsn	O
	privatizacije	privatizacija	Ncfsg	O
	na	na	Sl	O
	Kosovu	Kosovo	Npnsl	B-loc
	pod	pod	Si	O
	lupom	lupa	Ncfsi	O
Sentence: 2	Kosovo	Kosovo	Npnsn	B-loc
	ozbiljno	ozbiljno	Rgp	O
	analizira	analizirati	Vmr3s	O
	svoje	svoj	Px-mpa	O
	procese	proces	Ncmpa	O
	privatizacije	privatizacija	Ncfsg	O
	u	u	Sl	O
	svetlu	svetlo	Ncnsl	O
	čestih	čest	Agpfpgy	O
	pritužbi	pritužba	Ncfpg	O
	.	.	Z	O
Sentence: 3	Bar	bar	Rgp	O
	na	na	Sl	O
	papiru	papir	Ncmsl	O
	,	,	Z	O
	to	taj	Pd-nsn	O
	izgleda	izgledati	Vmr3s	O
	kao	kao	Cs	O
	odlična	odličan	Agpfsny	O
	ideja	ideja	Ncfsn	O
	.	.	Z	O
Sentence: 4	Vlada	vlada	Ncfsn	O
	prodaje	prodavati	Vmr3s	O
	preduzeća	preduzeće	Ncnpa	O
	,	,	Z	O
	rešava	rešavati	Vmr3s	O
	se	sebe	Px--sa	O
	tereta	teret	Ncmsg	O
	upravljanja	upravljanje	Ncnsg	O
	njima	oni	Pp3-pi	O
	,	,	Z	O
	a	a	Cc	O
	novac	novac	Ncmsn	O
	od	od	Sg	O
	prodaje	prodaja	Ncfsg	O
	pomaže	pomagati	Vmr3s	O
	u	u	Sl	O
	finansiranju	finansiranje	Ncnsl	O
	državnog	državni	Agpmsgy	O
	budžeta	budžet	Ncmsg	O
	.	.	Z	O
Sentence: 5	Ali	ali	Cc	O
	,	,	Z	O
	na	na	Sl	O
	Kosovu	Kosovo	Npnsl	B-loc
	,	,	Z	O
	kritičari	kritičar	Ncmpn	O
	kažu	kazati	Vmr3p	O
	da	da	Cs	O
	je	biti	Var3s	O
	pravni	pravni	Agpmsny	O
	proces	proces	Ncmsn	O
	vezan	vezan	Appmsnn	O
	za	za	Sa	O
	privatizaciju	privatizacija	Ncfsa	O
	složen	složen	Appmsnn	O
	i	i	Cc	O
	politički	politički	Rgp	O
	nabijen	nabijen	Agpmsnn	O
	,	,	Z	O
	što	što	Pi3n-n	O
	će	hteti	Var3s	O
	imati	imati	Vmn	O
	dugoročan	dugoročan	Agpmsann	O
	uticaj	uticaj	Ncmsan	O
	na	na	Sa	O
	ekonomiju	ekonomija	Ncfsa	O
	.	.	Z	O
Sentence: 6	Oni	oni	Pp3mpn	O
	kažu	kazati	Vmr3p	O
	da	da	Cs	O
	neki	neki	Pi-mpn	O
	vlasnici	vlasnik	Ncmpn	O
	i	i	Cc	O
	zaposleni	zaposlen	Agpmpny	O
	mogu	moći	Vmr3p	O
	da	da	Cs	O
	koriste	koristiti	Vmr3p	O
	određene	određen	Agpfpay	O
	rupe	rupa	Ncfpa	O
	u	u	Sl	O
	zakonu	zakon	Ncmsl	O
	,	,	Z	O
	dok	dok	Cs	O
	ostali	ostali	Agpmpny	O
	ne	ne	Qz	O
	dobijaju	dobijati	Vmr3p	O
	gotovo	gotovo	Rgp	O
	ništa	ništa	Pi3n-a	O
	.	.	Z	O
Sentence: 7	Tu	tu	Rgp	O
	je	biti	Var3s	O
	i	i	Cc	O
	etnička	etnički	Agpfsny	O
	komponenta	komponenta	Ncfsn	O
	,	,	Z	O
	s	sa	Si	O
	obzirom	obzir	Ncmsi	O
	da	da	Cs	O
	pojedinci	pojedinac	Ncmpn	O
	iz	iz	Sg	O
	različitih	različit	Agpfpgy	O
	zajednica	zajednica	Ncfpg	O
	mogu	moći	Vmr3p	O
	da	da	Cs	O
	kažu	kazati	Vmr3p	O
	da	da	Cs	O
	je	biti	Var3s	O
	diskriminacija	diskriminacija	Ncfsn	O
	--	--	Z	O
	bilo	bilo	Cc	O
	sada	sada	Rgp	O
	ili	ili	Cc	O
	ranije	rano	Rgc	O
	--	--	Z	O
	uticala	uticati	Vmp-sf	O
	na	na	Sa	O
	njihovu	njihov	Ps3fsa	O
	mogućnost	mogućnost	Ncfsa	O
	ostvarivanja	ostvarivanje	Ncnsg	O
	koristi	korist	Ncfsg	O
	od	od	Sg	O
	privatizacije	privatizacija	Ncfsg	O
	.	.	Z	O
Sentence: 8	Esat	Esat	Npmsn	B-per
	Beriša	Beriša	Npmsn	I-per
	je	biti	Var3s	O
	jedan	jedan	Mlcmsn	O
	takav	takav	Pd-msn	O
	primer	primer	Ncmsn	O
	.	.	Z	O
Sentence: 9	"	"	Z	O
	Moj	moj	Ps1msn	O
	otac	otac	Ncmsn	O
	je	biti	Var3s	O
	radio	raditi	Vmp-sm	O
	u	u	Sl	O
	Hidrotehnici	Hidrotehnici	Npfsl	B-org
	,	,	Z	O
	[	[	Z	O
	kao	kao	Cs	O
	i	i	Cc	O
	ja	ja	Pp1-sn	O
	]	]	Z	O
	,	,	Z	O
	do	do	Sg	O
	decembra	decembar	Ncmsg	O
	1990.	1990.	Mdo	O
	godine	godina	Ncfsg	O
	,	,	Z	O
	ali	ali	Cc	O
	onda	onda	Rgp	O
	sam	biti	Var1s	O
	ja	ja	Pp1-sn	O
	otpušten	otpustiti	Appmsnn	O
	zato	zato	Cs	O
	što	što	Cs	O
	su	biti	Var3p	O
	nas	mi	Pp1-pa	O
	srpske	srpski	Agpfpny	O
	vlasti	vlast	Ncfpn	O
	otpustile	otpustiti	Vmp-pf	O
	.	.	Z	O
Sentence: 10	Posle	posle	Sg	O
	rata	rat	Ncmsg	O
	sam	biti	Var1s	O
	se	sebe	Px--sa	O
	nadao	nadati	Vmp-sm	O
	da	da	Cs	O
	ću	hteti	Var1s	O
	dobiti	dobiti	Vmn	O
	svoj	svoj	Px-msan	O
	posao	posao	Ncmsan	O
	nazad	nazad	Rgp	O
	,	,	Z	O
	ali	ali	Cc	O
	to	taj	Pd-nsn	O
	se	sebe	Px--sa	O
	nikada	nikada	Rgp	O
	nije	biti	Var3s	O
	dogodilo	dogoditi	Vmp-sn	O
	.	.	Z	O
	"	"	Z	O
Sentence: 11	Nakon	nakon	Cs	O
	što	što	Cs	O
	je	biti	Var3s	O
	Hidrotehnika	Hidrotehnika	Npfsn	B-org
	privatizovana	privatizovati	Appfsny	O
	2006.	2006.	Mdo	O
	godine	godina	Ncfsg	O
	,	,	Z	O
	"	"	Z	O
	nikada	nikada	Rgp	O
	nisam	biti	Var1s	O
	dobio	dobiti	Vmp-sm	O
	bilo	bilo	Qo	O
	kakvu	kakav	Pi-fsa	O
	nadoknadu	nadoknada	Ncfsa	O
	,	,	Z	O
	a	a	Cc	O
	najgore	zlo	Rgs	O
	je	biti	Var3s	O
	to	taj	Pd-nsn	O
	što	što	Pi3n-n	O
	kompanija	kompanija	Ncfsn	O
	više	mnogo	Rgc	O
	ne	ne	Qz	O
	postoji	postojati	Vmr3s	O
	,	,	Z	O
	jer	jer	Cs	O
	je	biti	Var3s	O
	novi	nov	Agpmsny	O
	vlasnik	vlasnik	Ncmsn	O
	promenio	promeniti	Vmp-sm	O
	njenu	njen	Ps3fsa	O
	namenu	namena	Ncfsa	O
	"	"	Z	O
	,	,	Z	O
	rekao	reći	Vmp-sm	O
	je	biti	Var3s	O
	Beriša	Beriša	Npmsn	B-per
	za	za	Sa	O
	SETimes	SETimes	Xf	B-org
	.	.	Z	O
Sentence: 12	U	u	Sl	O
	nekim	neki	Pi-mpl	O
	slučajevima	slučaj	Ncmpl	O
	kompanije	kompanija	Ncfpn	O
	su	biti	Var3p	O
	kupovane	kupovati	Appfpny	O
	više	mnogo	Rgc	O
	zbog	zbog	Sg	O
	zemljišta	zemljište	Ncnsg	O
	nego	nego	Cc	O
	zbog	zbog	Sg	O
	želje	želja	Ncfsg	O
	da	da	Cs	O
	se	sebe	Px--sa	O
	nastavi	nastaviti	Vmr3s	O
	rad	rad	Ncmsan	O
	.	.	Z	O
Sentence: 13	On	on	Pp3msn	O
	nije	biti	Var3s	O
	usamljen	usamljen	Agpmsnn	O
	:	:	Z	O
	diskriminatorni	diskriminatoran	Agpmsny	O
	zakon	zakon	Ncmsn	O
	koji	koji	Pi-msn	O
	je	biti	Var3s	O
	nametnuo	nametnuti	Vmp-sm	O
	Miloševićev	Miloševićev	Aspmsnn	B-deriv-per
	režim	režim	Ncmsn	O
	primorao	primorati	Vmp-sm	O
	je	biti	Var3s	O
	hiljade	hiljada	Ncfpa	O
	Kosovara	Kosovar	Npmpg	B-per
	da	da	Cs	O
	napuste	napustiti	Vmr3p	O
	svoje	svoj	Px-mpa	O
	poslove	posao	Ncmpa	O
	.	.	Z	O
Sentence: 14	Osim	osim	Sg	O
	toga	taj	Pd-nsg	O
	,	,	Z	O
	mnoge	mnogi	Agpfpny	O
	kompanije	kompanija	Ncfpn	O
	koje	koji	Pi-fpn	O
	su	biti	Var3p	O
	privatizovane	privatizovati	Appfpny	O
	promenile	promeniti	Vmp-pf	O
	su	biti	Var3p	O
	lokaciju	lokacija	Ncfsa	O
	poslovanja	poslovanje	Ncnsg	O
	i	i	Cc	O
	vrlo	vrlo	Rgp	O
	često	često	Rgp	O
	se	sebe	Px--sa	O
	zaposleni	zaposlen	Agpmpny	O
	,	,	Z	O
	kao	kao	Cs	O
	što	što	Cs	O
	je	biti	Var3s	O
	Beriša	Beriša	Npmsn	B-per
	,	,	Z	O
	skidaju	skidati	Vmr3p	O
	sa	sa	Sg	O
	platnog	platni	Agpmsgy	O
	spiska	spisk	Ncmsg	O
	,	,	Z	O
	što	što	Pi3n-n	O
	dovodi	dovoditi	Vmr3s	O
	do	do	Sg	O
	čestih	čest	Agpmpgy	O
	protesta	protest	Ncmpg	O
	ispred	ispred	Sg	O
	Agencije	agencija	Ncfsg	B-org
	za	za	Sa	I-org
	privatizaciju	privatizacija	Ncfsa	I-org
	.	.	Z	O
Sentence: 15	Dardan	Dardan	Npmsn	B-per
	Sejdiu	Sejdiu	Npmsn	I-per
	,	,	Z	O
	ekonomski	ekonomski	Agpmsny	O
	ekspert	ekspert	Ncmsn	O
	iz	iz	Sg	O
	pokreta	pokret	Ncmsg	O
	Vetvendosje	Vetvendosje	Npmsn	B-org
	,	,	Z	O
	veliki	velik	Agpmsny	O
	je	biti	Var3s	O
	kritičar	kritičar	Ncmsn	O
